date,search_count,youtube_count,event_present,stress_level,search_count_norm,youtube_count_norm,search_count_inverse,search_count_inverse_lag1,youtube_count_norm_lag1
2025-01-03,7,57,0,0,0.11475409836065574,0.2336065573770492,0.8852459016393442,0.0,0.0
2025-01-04,14,14,0,0,0.22950819672131148,0.05737704918032787,0.7704918032786885,0.8852459016393442,0.2336065573770492
2025-01-05,12,10,0,0,0.19672131147540983,0.040983606557377046,0.8032786885245902,0.7704918032786885,0.05737704918032787
2025-01-06,22,6,1,2,0.36065573770491804,0.02459016393442623,0.639344262295082,0.8032786885245902,0.040983606557377046
2025-01-07,29,15,0,0,0.47540983606557374,0.06147540983606557,0.5245901639344263,0.639344262295082,0.02459016393442623
2025-01-08,7,13,0,0,0.11475409836065574,0.05327868852459016,0.8852459016393442,0.5245901639344263,0.06147540983606557
2025-01-09,31,68,0,0,0.5081967213114754,0.2786885245901639,0.4918032786885246,0.8852459016393442,0.05327868852459016
2025-01-10,20,34,0,0,0.32786885245901637,0.13934426229508196,0.6721311475409837,0.4918032786885246,0.2786885245901639
2025-01-11,34,25,0,0,0.5573770491803278,0.10245901639344263,0.4426229508196722,0.6721311475409837,0.13934426229508196
2025-01-12,31,90,0,0,0.5081967213114754,0.36885245901639346,0.4918032786885246,0.4426229508196722,0.10245901639344263
2025-01-13,48,39,0,0,0.7868852459016393,0.1598360655737705,0.21311475409836067,0.4918032786885246,0.36885245901639346
2025-01-14,32,90,0,0,0.5245901639344263,0.36885245901639346,0.47540983606557374,0.21311475409836067,0.1598360655737705
2025-01-15,27,36,0,0,0.4426229508196721,0.14754098360655737,0.5573770491803278,0.47540983606557374,0.36885245901639346
2025-01-16,11,100,0,0,0.18032786885245902,0.4098360655737705,0.819672131147541,0.5573770491803278,0.14754098360655737
2025-01-17,21,88,0,0,0.3442622950819672,0.36065573770491804,0.6557377049180328,0.819672131147541,0.4098360655737705
2025-01-18,23,72,0,0,0.3770491803278688,0.29508196721311475,0.6229508196721312,0.6557377049180328,0.36065573770491804
2025-01-19,44,25,0,0,0.7213114754098361,0.10245901639344263,0.2786885245901639,0.6229508196721312,0.29508196721311475
2025-01-20,22,8,1,1,0.36065573770491804,0.03278688524590164,0.639344262295082,0.2786885245901639,0.10245901639344263
2025-01-21,29,27,0,0,0.47540983606557374,0.11065573770491803,0.5245901639344263,0.639344262295082,0.03278688524590164
2025-01-22,34,16,0,0,0.5573770491803278,0.06557377049180328,0.4426229508196722,0.5245901639344263,0.11065573770491803
2025-01-23,21,54,0,0,0.3442622950819672,0.22131147540983606,0.6557377049180328,0.4426229508196722,0.06557377049180328
2025-01-24,33,31,0,0,0.5409836065573771,0.12704918032786885,0.4590163934426229,0.6557377049180328,0.22131147540983606
2025-01-25,14,82,0,0,0.22950819672131148,0.3360655737704918,0.7704918032786885,0.4590163934426229,0.12704918032786885
2025-01-26,36,30,0,0,0.5901639344262295,0.12295081967213115,0.4098360655737705,0.7704918032786885,0.3360655737704918
2025-01-27,61,30,0,0,1.0,0.12295081967213115,0.0,0.4098360655737705,0.12295081967213115
2025-01-28,38,47,0,0,0.6229508196721312,0.19262295081967212,0.3770491803278688,0.0,0.12295081967213115
2025-01-29,27,39,0,0,0.4426229508196721,0.1598360655737705,0.5573770491803278,0.3770491803278688,0.19262295081967212
2025-01-30,51,56,0,0,0.8360655737704918,0.22950819672131148,0.16393442622950816,0.5573770491803278,0.1598360655737705
2025-01-31,22,54,0,0,0.36065573770491804,0.22131147540983606,0.639344262295082,0.16393442622950816,0.22950819672131148
2025-02-01,19,41,0,0,0.3114754098360656,0.1680327868852459,0.6885245901639344,0.639344262295082,0.22131147540983606
2025-02-02,39,157,0,0,0.639344262295082,0.6434426229508197,0.360655737704918,0.6885245901639344,0.1680327868852459
2025-02-03,38,105,1,3,0.6229508196721312,0.430327868852459,0.3770491803278688,0.360655737704918,0.6434426229508197
2025-02-04,41,130,0,0,0.6721311475409836,0.5327868852459017,0.3278688524590164,0.3770491803278688,0.430327868852459
2025-02-05,44,14,0,0,0.7213114754098361,0.05737704918032787,0.2786885245901639,0.3278688524590164,0.5327868852459017
2025-02-06,27,6,0,0,0.4426229508196721,0.02459016393442623,0.5573770491803278,0.2786885245901639,0.05737704918032787
2025-02-07,24,20,0,0,0.39344262295081966,0.08196721311475409,0.6065573770491803,0.5573770491803278,0.02459016393442623
2025-02-08,13,77,0,0,0.21311475409836064,0.3155737704918033,0.7868852459016393,0.6065573770491803,0.08196721311475409
2025-02-09,19,58,0,0,0.3114754098360656,0.23770491803278687,0.6885245901639344,0.7868852459016393,0.3155737704918033
2025-02-10,37,37,1,2,0.6065573770491803,0.15163934426229508,0.39344262295081966,0.6885245901639344,0.23770491803278687
2025-02-11,34,45,0,0,0.5573770491803278,0.18442622950819673,0.4426229508196722,0.39344262295081966,0.15163934426229508
2025-02-12,45,20,0,0,0.7377049180327869,0.08196721311475409,0.2622950819672131,0.4426229508196722,0.18442622950819673
2025-02-13,26,23,0,0,0.4262295081967213,0.0942622950819672,0.5737704918032787,0.2622950819672131,0.08196721311475409
2025-02-14,34,23,0,0,0.5573770491803278,0.0942622950819672,0.4426229508196722,0.5737704918032787,0.0942622950819672
2025-02-15,23,29,0,0,0.3770491803278688,0.11885245901639344,0.6229508196721312,0.4426229508196722,0.0942622950819672
2025-02-16,12,41,0,0,0.19672131147540983,0.1680327868852459,0.8032786885245902,0.6229508196721312,0.11885245901639344
2025-02-17,53,49,1,3,0.8688524590163934,0.20081967213114754,0.1311475409836066,0.8032786885245902,0.1680327868852459
2025-02-18,28,129,0,0,0.45901639344262296,0.5286885245901639,0.540983606557377,0.1311475409836066,0.20081967213114754
2025-02-19,19,52,0,0,0.3114754098360656,0.21311475409836064,0.6885245901639344,0.540983606557377,0.5286885245901639
2025-02-20,28,51,0,0,0.45901639344262296,0.20901639344262296,0.540983606557377,0.6885245901639344,0.21311475409836064
2025-02-21,26,8,0,0,0.4262295081967213,0.03278688524590164,0.5737704918032787,0.540983606557377,0.20901639344262296
2025-02-22,20,63,0,0,0.32786885245901637,0.2581967213114754,0.6721311475409837,0.5737704918032787,0.03278688524590164
2025-02-23,9,45,0,0,0.14754098360655737,0.18442622950819673,0.8524590163934427,0.6721311475409837,0.2581967213114754
2025-02-24,40,7,0,0,0.6557377049180327,0.028688524590163935,0.34426229508196726,0.8524590163934427,0.18442622950819673
2025-02-25,41,244,0,0,0.6721311475409836,1.0,0.3278688524590164,0.34426229508196726,0.028688524590163935
2025-02-26,42,81,0,0,0.6885245901639344,0.3319672131147541,0.3114754098360656,0.3278688524590164,1.0
2025-02-27,23,49,0,0,0.3770491803278688,0.20081967213114754,0.6229508196721312,0.3114754098360656,0.3319672131147541
2025-02-28,27,16,0,0,0.4426229508196721,0.06557377049180328,0.5573770491803278,0.6229508196721312,0.20081967213114754
2025-03-01,24,29,0,0,0.39344262295081966,0.11885245901639344,0.6065573770491803,0.5573770491803278,0.06557377049180328
2025-03-02,20,32,0,0,0.32786885245901637,0.13114754098360656,0.6721311475409837,0.6065573770491803,0.11885245901639344
2025-03-03,32,26,1,1,0.5245901639344263,0.10655737704918032,0.47540983606557374,0.6721311475409837,0.13114754098360656
2025-03-04,31,36,0,0,0.5081967213114754,0.14754098360655737,0.4918032786885246,0.47540983606557374,0.10655737704918032
2025-03-05,17,7,0,0,0.2786885245901639,0.028688524590163935,0.7213114754098361,0.4918032786885246,0.14754098360655737
2025-03-06,31,6,0,0,0.5081967213114754,0.02459016393442623,0.4918032786885246,0.7213114754098361,0.028688524590163935
2025-03-07,4,28,0,0,0.06557377049180328,0.11475409836065574,0.9344262295081968,0.4918032786885246,0.02459016393442623
2025-03-08,0,39,0,0,0.0,0.1598360655737705,1.0,0.9344262295081968,0.11475409836065574
2025-03-09,0,98,0,0,0.0,0.4016393442622951,1.0,1.0,0.1598360655737705
2025-03-10,7,87,0,0,0.11475409836065574,0.35655737704918034,0.8852459016393442,1.0,0.4016393442622951
2025-03-11,24,43,0,0,0.39344262295081966,0.1762295081967213,0.6065573770491803,0.8852459016393442,0.35655737704918034
2025-03-12,15,8,0,0,0.2459016393442623,0.03278688524590164,0.7540983606557377,0.6065573770491803,0.1762295081967213
2025-03-13,19,126,0,0,0.3114754098360656,0.5163934426229508,0.6885245901639344,0.7540983606557377,0.03278688524590164
2025-03-14,22,127,0,0,0.36065573770491804,0.5204918032786885,0.639344262295082,0.6885245901639344,0.5163934426229508
2025-03-15,16,40,0,0,0.26229508196721313,0.16393442622950818,0.7377049180327868,0.639344262295082,0.5204918032786885
2025-03-16,20,103,0,0,0.32786885245901637,0.42213114754098363,0.6721311475409837,0.7377049180327868,0.16393442622950818
2025-03-17,30,19,1,3,0.4918032786885246,0.0778688524590164,0.5081967213114754,0.6721311475409837,0.42213114754098363
2025-03-18,48,126,0,0,0.7868852459016393,0.5163934426229508,0.21311475409836067,0.5081967213114754,0.0778688524590164
2025-03-19,61,107,0,0,1.0,0.4385245901639344,0.0,0.21311475409836067,0.5163934426229508
2025-03-20,24,22,0,0,0.39344262295081966,0.09016393442622951,0.6065573770491803,0.0,0.4385245901639344
2025-03-21,21,7,0,0,0.3442622950819672,0.028688524590163935,0.6557377049180328,0.6065573770491803,0.09016393442622951
2025-03-22,26,27,0,0,0.4262295081967213,0.11065573770491803,0.5737704918032787,0.6557377049180328,0.028688524590163935
2025-03-23,31,123,0,0,0.5081967213114754,0.5040983606557377,0.4918032786885246,0.5737704918032787,0.11065573770491803
2025-03-24,39,97,0,0,0.639344262295082,0.3975409836065574,0.360655737704918,0.4918032786885246,0.5040983606557377
2025-03-25,29,111,0,0,0.47540983606557374,0.45491803278688525,0.5245901639344263,0.360655737704918,0.3975409836065574
2025-03-26,53,35,0,0,0.8688524590163934,0.14344262295081966,0.1311475409836066,0.5245901639344263,0.45491803278688525
2025-03-27,16,54,0,0,0.26229508196721313,0.22131147540983606,0.7377049180327868,0.1311475409836066,0.14344262295081966
2025-03-28,28,219,0,0,0.45901639344262296,0.8975409836065574,0.540983606557377,0.7377049180327868,0.22131147540983606
2025-03-29,1,129,0,0,0.01639344262295082,0.5286885245901639,0.9836065573770492,0.540983606557377,0.8975409836065574
2025-03-30,4,127,0,0,0.06557377049180328,0.5204918032786885,0.9344262295081968,0.9836065573770492,0.5286885245901639
2025-03-31,13,0,0,0,0.21311475409836064,0.0,0.7868852459016393,0.9344262295081968,0.5204918032786885
2025-04-01,31,0,0,0,0.5081967213114754,0.0,0.4918032786885246,0.7868852459016393,0.0
2025-04-02,11,0,0,0,0.18032786885245902,0.0,0.819672131147541,0.4918032786885246,0.0
2025-04-03,7,0,0,0,0.11475409836065574,0.0,0.8852459016393442,0.819672131147541,0.0
2025-04-04,25,0,0,0,0.4098360655737705,0.0,0.5901639344262295,0.8852459016393442,0.0
2025-04-05,19,0,0,0,0.3114754098360656,0.0,0.6885245901639344,0.5901639344262295,0.0
2025-04-06,17,0,0,0,0.2786885245901639,0.0,0.7213114754098361,0.6885245901639344,0.0
2025-04-07,21,0,1,1,0.3442622950819672,0.0,0.6557377049180328,0.7213114754098361,0.0
2025-04-08,29,0,0,0,0.47540983606557374,0.0,0.5245901639344263,0.6557377049180328,0.0
2025-04-09,52,0,0,0,0.8524590163934426,0.0,0.14754098360655743,0.5245901639344263,0.0
2025-04-10,0,0,0,0,0.0,0.0,1.0,0.14754098360655743,0.0
2025-04-11,0,0,0,0,0.0,0.0,1.0,1.0,0.0
2025-04-12,0,0,0,0,0.0,0.0,1.0,1.0,0.0
2025-04-13,0,0,0,0,0.0,0.0,1.0,1.0,0.0
2025-04-14,0,0,1,3,0.0,0.0,1.0,1.0,0.0
2025-04-15,0,0,0,0,0.0,0.0,1.0,1.0,0.0
2025-04-16,0,0,0,0,0.0,0.0,1.0,1.0,0.0
2025-04-17,0,0,0,0,0.0,0.0,1.0,1.0,0.0
